name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Sparkasse Holstein,9444,,7038,,948,56,1824,2024,https://de.wikipedia.org/wiki/Sparkasse_Holstein
Sparkasse Kaiserslautern,5762,,4251,,780,53,1836,2024,https://de.wikipedia.org/wiki/Sparkasse_Kaiserslautern
Sparkasse Karlsruhe,11973,,8793,,1294,66,1812,2024,https://de.wikipedia.org/wiki/Sparkasse_Karlsruhe
Sparkasse Krefeld,10342,,7724,,1366,51,1840,2024,https://de.wikipedia.org/wiki/Sparkasse_Krefeld
Sparkasse KölnBonn,28100,1000,,,3474,50,2005,2024,https://de.wikipedia.org/wiki/Sparkasse_K%C3%B6lnBonn
Sparkasse Leverkusen,4446,,3450,,,,1844,2024,https://de.wikipedia.org/wiki/Sparkasse_Leverkusen
Sparkasse Lörrach-Rheinfelden,3417,,2030,,,,1834,2024,https://de.wikipedia.org/wiki/Sparkasse_L%C3%B6rrach-Rheinfelden
Sparkasse Lüneburg,3361,,2681,,541,33,1990,2024,https://de.wikipedia.org/wiki/Sparkasse_L%C3%BCneburg
Sparkasse Magdeburg,4216,,3668,,522,34,,2024,https://de.wikipedia.org/wiki/Sparkasse_Magdeburg
Sparkasse Mainfranken Würzburg,10709,,8675,,1388,84,1822,2024,https://de.wikipedia.org/wiki/Sparkasse_Mainfranken_W%C3%BCrzburg
Sparkasse Marburg-Biedenkopf,4600,,,,810,,1832,2024,https://de.wikipedia.org/wiki/Sparkasse_Marburg-Biedenkopf
Sparkasse Mecklenburg-Nordwest,1844,,1622,,239,21,1824,2024,https://de.wikipedia.org/wiki/Sparkasse_Mecklenburg-Nordwest
Sparkasse Mecklenburg-Schwerin,3289,,2621,,509,22,1821,2024,https://de.wikipedia.org/wiki/Sparkasse_Mecklenburg-Schwerin
Sparkasse Mittelsachsen,3736,,,,387,36,1823,2023,https://de.wikipedia.org/wiki/Sparkasse_Mittelsachsen
Sparkasse Märkisch-Oderland,2481,,,,241,31,1994,2024,https://de.wikipedia.org/wiki/Sparkasse_M%C3%A4rkisch-Oderland
Sparkasse Niederbayern-Mitte,5571,,3914,,635,41,,2024,https://de.wikipedia.org/wiki/Sparkasse_Niederbayern-Mitte
Sparkasse Oberhessen,6265,,5005,,852,51,,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberhessen
Sparkasse Oberlausitz-Niederschlesien,4602,227,3880,,236,35,,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberlausitz-Niederschlesien
Sparkasse Oberpfalz Nord,1900,,1616,,325,15,2005,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberpfalz_Nord
Sparkasse Oder-Spree,3895,,,,411,,,,https://de.wikipedia.org/wiki/Sparkasse_Oder-Spree
Sparkasse Passau,3870,100,,,563,30,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Passau
Sparkasse Pforzheim Calw,17400,370,,,1897,78,1834,2024,https://de.wikipedia.org/wiki/Sparkasse_Pforzheim_Calw
Sparkasse Rhein Neckar Nord,5825,,3896,,700,36,1822,2024,https://de.wikipedia.org/wiki/Sparkasse_Rhein_Neckar_Nord
Sparkasse Rhein-Haardt,4750,,,,569,,,,https://de.wikipedia.org/wiki/Sparkasse_Rhein-Haardt
Sparkasse Rhein-Nahe,5442,,,,690,33,,2024,https://de.wikipedia.org/wiki/Sparkasse_Rhein-Nahe
Sparkasse Rotenburg Osterholz,4064,,,,654,40,2018,2024,https://de.wikipedia.org/wiki/Sparkasse_Rotenburg_Osterholz
Sparkasse Saarbrücken,8055,,6069,,1097,59,1898,2024,https://de.wikipedia.org/wiki/Sparkasse_Saarbr%C3%BCcken
Sparkasse Schwarzwald-Baar,4930,,3697,,631,45,1839,2024,https://de.wikipedia.org/wiki/Sparkasse_Schwarzwald-Baar
Sparkasse Schweinfurt-Haßberge,4806,,3734,,674,42,,2024,https://de.wikipedia.org/wiki/Sparkasse_Schweinfurt-Ha%C3%9Fberge
Sparkasse Siegen,4933,,3746,,766,41,1842,2024,https://de.wikipedia.org/wiki/Sparkasse_Siegen
Sparkasse Sonneberg,793,,,,145,12,,2024,https://de.wikipedia.org/wiki/Sparkasse_Sonneberg
Sparkasse Trier,5408,,,,724,35,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Trier
Sparkasse Uckermark,1397,,,,202,,,,https://de.wikipedia.org/wiki/Sparkasse_Uckermark
Sparkasse Ulm,7203,,5480,,914,77,1847,2024,https://de.wikipedia.org/wiki/Sparkasse_Ulm
Sparkasse Westerwald-Sieg,4220,,,,574,35,2015,2024,https://de.wikipedia.org/wiki/Sparkasse_Westerwald-Sieg
Sparkasse Westmünsterland,11496,,8462,,1377,79,1841,2024,https://de.wikipedia.org/wiki/Sparkasse_Westm%C3%BCnsterland
Sparkasse Zwickau,3222,,2796,,433,23,1845,2024,https://de.wikipedia.org/wiki/Sparkasse_Zwickau
Sparkasse an Ennepe und Ruhr,2787,,,,,,,,https://de.wikipedia.org/wiki/Sparkasse_an_Ennepe_und_Ruhr
Stadt-Sparkasse Solingen,3730,,,,494,17,1836,2024,https://de.wikipedia.org/wiki/Stadt-Sparkasse_Solingen
Stadtsparkasse Augsburg,8400,,6900,,1040,42,1822,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Augsburg
Stadtsparkasse Bad Pyrmont,425,,,,74,3,,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Bad_Pyrmont
Stadtsparkasse Düsseldorf,15666,397,12056,,1599,52,1825,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_D%C3%BCsseldorf
Stadtsparkasse Schwedt,753,,,,99,4,,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Schwedt
Stadtsparkasse Wuppertal,8457,,,,1182,44,1822,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Wuppertal
Taunus Sparkasse,7746,,5718,,780,50,1825,2024,https://de.wikipedia.org/wiki/Taunus_Sparkasse
Bjursås Sparbank,,,,,20,1,1910,2023,https://sv.wikipedia.org/wiki/Bjurs%C3%A5s_Sparbank
Dalslands Sparbank,,,,,65,5,1870,2023,https://sv.wikipedia.org/wiki/Dalslands_Sparbank
Ekeby Sparbank,,,,,20,1,1892,2023,https://www.ekebysparbank.se/om-oss.html
Falkenbergs Sparbank,1217,,,,96,3,1849,2023,https://thebanks.eu/banks/17535
Fryksdalens Sparbank,,,,,30,2,1856,2023,https://se.linkedin.com/company/fryksdalens-sparbank
Hälsinglands Sparbank,904,,,,96,5,1848,2023,https://thebanks.eu/banks/17629
Häradssparbanken Mönsterås,,17,,,36,1,1877,2023,https://www.haradssparbanken.se/om-oss.html
Högsby Sparbank,,,,,25,1,1895,2023,https://thebanks.eu/banks/17546
Ivetofta Sparbank i Bromölla,,,,,15,1,1868,2023,https://thebanks.eu/banks/17548
Kinda Ydre Sparbank,,,,,30,4,1867,2023,https://www.kindaydresparbank.se/om-oss.html
Laholms Sparbank,,,,,48,4,1857,2023,https://sv.wikipedia.org/wiki/Laholms_sparbank
Lekebergs Sparbank,,,,,15,1,1867,2023,https://thebanks.eu/banks/17552
Leksands Sparbank,,,,,35,2,1862,2023,https://thebanks.eu/banks/17553
Lönneberga-Tuna-Vena Sparbank,,,,,15,3,1876,2023,https://www.ltvsparbank.se/om-oss.html
Markaryds Sparbank,,,,,20,1,1866,2023,https://thebanks.eu/banks/17557
Mjöbäcks Sparbank,,,,,15,1,1868,2023,https://thebanks.eu/banks/17560
Norrbärke Sparbank,,,,,25,2,1859,2023,https://sv.wikipedia.org/wiki/Norrb%C3%A4rke_Sparbank
Orusts Sparbank,1357,,,,64,4,1893,2023,https://thebanks.eu/banks/17564
Roslagens Sparbank,1124,,,,110,5,1859,2023,https://thebanks.eu/banks/17567
Sala Sparbank,,38,,,80,3,1828,2023,https://sv.wikipedia.org/wiki/Sala_Sparbank
Sidensjö Sparbank,,,,,10,1,1899,2023,https://thebanks.eu/banks/17543
Skurups Sparbank,,,,,20,1,1868,2023,https://thebanks.eu/banks/17572
Snapphanebygdens Sparbank,,,,,15,1,1875,2023,https://sv.wikipedia.org/wiki/Snapphanebygdens_Sparbank
Sparbanken Alingsås,1703,,,,130,5,1833,2023,https://thebanks.eu/banks/17657
Sparbanken Bergslagen,745,,,,41,2,1835,2023,https://thebanks.eu/banks/17520/financials
Sparbanken Boken,,,,,15,3,1884,2023,https://www.sparbankenboken.se/om-oss.html
Sparbanken Eken,722,,,,73,6,1856,2023,https://thebanks.eu/banks/17659
Sparbanken Gotland,,,,,16,2,2005,2023,https://sv.wikipedia.org/wiki/Sparbanken_Gotland
Sparbanken Göinge,585,,,,49,4,1849,2023,https://thebanks.eu/banks/17661
Sparbanken Lidköping,979,,680,709,57,1,1834,2023,https://www.mynewsdesk.com/se/sparbankenlidkoping/pressreleases/sparbanken-lidkoeping-bokslutskommunike-2024-3369529
Sparbanken Mälardalen,1043,,,,50,3,1835,2023,https://thebanks.eu/banks/17587
Sparbanken Nord,2696,,,,175,11,1852,2023,https://thebanks.eu/banks/17582
Sparbanken Sjuhärad,2799,,,,160,8,1831,2023,https://thebanks.eu/banks/17669
Sparbanken Skaraborg,1483,,,,109,4,1847,2023,https://thebanks.eu/banks/17583
Sparbanken Skåne,9244,,,,489,22,2014,2023,https://thebanks.eu/banks/17625
Sparbanken Spira,641,,,,54,3,1867,2023,https://thebanks.eu/banks/17597
Sparbanken Tanum,,,,,25,2,1860,2023,https://thebanks.eu/banks/17585
Sparbanken Tranemo,,,339,348,30,2,1876,2023,https://www.sparbankentranemo.se/om-sparbanken-tranemo.html
Sparbanken i Enköping,1245,,,,75,4,1835,2023,https://thebanks.eu/banks/17577
Sparbanken i Karlshamn,1110,43,,,91,6,1836,2023,https://thebanks.eu/banks/17579
Södra Hestra Sparbank,,,,,15,2,1874,2023,https://www.sodrahestrasparbank.se/om-oss.html
Sölvesborg-Mjällby Sparbank,,,,,35,2,1869,2023,https://thebanks.eu/banks/17595
Sörmlands Sparbank,1848,,,,130,5,1832,2023,https://thebanks.eu/banks/17588
Tidaholms Sparbank,,,,,25,1,1860,2023,https://thebanks.eu/banks/17596
Tjörns Sparbank,,,,,50,2,1884,2023,https://thebanks.eu/banks/17598
Ulricehamns Sparbank,,,,,30,1,1862,2023,https://thebanks.eu/banks/17599
Vadstena Sparbank,,,,,15,1,1842,2023,https://thebanks.eu/banks/17601
Valdemarsviks Sparbank,,,,,10,1,1871,2023,https://thebanks.eu/banks/17602
Varbergs Sparbank,1744,,1331,1350,135,3,1836,2023,https://thebanks.eu/banks/17603
Vimmerby Sparbank,267,,,,20,1,1849,2023,https://thebanks.eu/banks/17607
Virserums Sparbank,,,,,15,1,1867,2023,https://thebanks.eu/banks/17608
Westra Wermlands Sparbank,1348,,,,111,7,1856,2023,https://thebanks.eu/banks/17605
Ålems Sparbank,,,,,10,1,1880,2023,https://thebanks.eu/banks/17609
Åse Viste Sparbank,,,,,15,1,1866,2023,https://thebanks.eu/banks/17610
Ölands Bank,518,,,,44,2,1832,2023,https://thebanks.eu/banks/17678Aurskog Sparebank,1556,,,,65,,1846,2023,https://thebanks.eu/banks/9330
Bien Sparebank,456,,,,29,,1885,2023,https://thebanks.eu/banks/9333
Cultura Sparebank,141,,,,26,,1997,2023,https://thebanks.eu/banks/9339
Drangedal Sparebank,518,,,,,,1936,2023,https://thebanks.eu/banks/9340
Eidsberg Sparebank,,,,,,,1848,,https://no.wikipedia.org/wiki/Eidsberg_Sparebank
Etne Sparebank,,,,,,,1859,,https://thebanks.eu/banks/9342
Fana Sparebank,1781,,,,148,,1878,2023,https://thebanks.eu/banks/9345
Flekkefjord Sparebank,893,,,,85,,1837,2023,https://thebanks.eu/banks/9346
Grue Sparebank,371,,,,26,,1862,2023,https://thebanks.eu/banks/9351
Haltdalen Sparebank,175,,,,,,1898,2023,https://thebanks.eu/banks/9352
Haugesund Sparebank,1297,,,,63,,1928,2023,https://thebanks.eu/banks/9354
Helgeland Sparebank,3025,,,,150,3,,2023,https://thebanks.eu/banks/9356
Hjartdal og Gransherad Sparebank,415,,,,22,,1898,2023,https://thebanks.eu/banks/9357
Indre Sogn Sparebank,,,,,,,1971,,https://en.wikipedia.org/wiki/Indre_Sogn_Sparebank
Jaeren Sparebank,1553,,,,,,1870,2023,https://thebanks.eu/banks/9364
Kvinesdal Sparebank,312,,,,36,,1986,2023,https://thebanks.eu/banks/9367
Lillesands Sparebank,356,,,,22,,1852,2023,https://thebanks.eu/banks/9369
Luster Sparebank,401,,,,,,1848,2023,https://thebanks.eu/banks/9373
Marker Sparebank,497,,,,,,1851,2023,https://thebanks.eu/banks/9374
Melhus Sparebank,989,,,,70,,1840,2023,https://thebanks.eu/banks/9376
Odal Sparebank,636,,,,45,,1877,2023,https://thebanks.eu/banks/9380
Ofoten Sparebank,,,,,,,1899,,https://thebanks.eu/banks/9381
Orkla Sparebank,1233,,,,,,1841,2023,https://thebanks.eu/banks/9383
Romsdals Budstikke Sparebank,,,,,,,,,
Sandnes Sparebank,2014,,,,130,,1875,2023,https://thebanks.eu/banks/9386
Selbu Sparebank,489,,,,,,1859,2023,https://thebanks.eu/banks/9387
Skagerrak Sparebank,2321,,,,,,2017,2023,https://thebanks.eu/banks/18828
Skudenes og Aakra Sparebank,1027,,,,,,1876,2023,https://thebanks.eu/banks/9389
SpareBank 1 BV,,,,,345,,1883,,https://en.wikipedia.org/wiki/SpareBank_1_BV
SpareBank 1 Gudbrandsdal,1117,,,,,,1860,2023,https://thebanks.eu/banks/9391
SpareBank 1 Hallingdal Valdres,1524,,,,,,1870,2023,https://thebanks.eu/banks/9392
SpareBank 1 Helgeland,3025,,,,150,3,,2023,https://thebanks.eu/banks/9356
SpareBank 1 Lom og Skjak,811,,,,,,1873,2023,https://thebanks.eu/banks/9372
SpareBank 1 Modum,,,,,70,,1841,,https://thebanks.eu/banks/9377
SpareBank 1 Nordmore,2454,,,,,,1835,2023,https://thebanks.eu/banks/9394
SpareBank 1 Ringerike Hadeland,2701,,,,278,,1833,2023,https://thebanks.eu/banks/9396
SpareBank 1 Sorost-Norge,8022,,,,644,,1848,2023,https://thebanks.eu/banks/9401
SpareBank 1 Telemark,,,,,,,1848,,https://no.wikipedia.org/wiki/SpareBank_1_Telemark
Sparebanken Din,565,,,,,,2013,2023,https://thebanks.eu/banks/9338
Sparebanken More,6190,,,,400,,1843,2023,https://thebanks.eu/banks/9404
Sparebanken Narvik,713,,,,,,1901,2023,https://thebanks.eu/banks/9405
Sparebanken Sogn og Fjordane,4748,,,,310,,1988,2023,https://thebanks.eu/banks/9407
Stadsbygd Sparebank,451,,,,,,1890,2023,https://thebanks.eu/banks/9414
Sunndal Sparebank,472,,,,33,,1892,2023,https://thebanks.eu/banks/9416
Tolga-Os Sparebank,549,,,,47,,1865,2023,https://thebanks.eu/banks/9421
Totens Sparebank,1700,,,,90,,1854,2023,https://thebanks.eu/banks/9422
Trøgstad Sparebank,389,,,,18,,1847,2023,https://thebanks.eu/banks/9423
Tysnes Sparebank,316,,,,,,1863,2023,https://thebanks.eu/banks/9424
Valle Sparebank,206,,,,,,,,https://thebanks.eu/banks/9425
Voss Sparebank,540,,,,,,1843,2023,https://thebanks.eu/banks/9430
BCC Milano,4916,,6200,,570,67,1904,2023,https://thebanks.eu/banks/15472
BCC Pordenonese e Monsile,3149,,2544,,394,58,,2023,https://thebanks.eu/banks/15402
BCC Veneta,6031,,,,730,93,,2023,https://www.bccveneta.it/news/dettaglio_news_div.asp?i_menuID=57412&hNewsID=175332
BCC di Roma,15161,450,,,1454,196,1954,2023,https://thebanks.eu/banks/15537
Banca Agricola Popolare di Ragusa,5375,,5724,3981,753,98,1889,2023,https://thebanks.eu/banks/15569
Banca Cassa di Risparmio di Savigliano,1765,,,,,25,1900,2023,https://thebanks.eu/banks/15580
Banca Centro Credito Cooperativo Toscana-Umbria,3223,,,,,,2016,2023,https://thebanks.eu/banks/18713
Banca Popolare Pugliese,4627,,5250,3139,725,94,1888,2023,https://thebanks.eu/banks/15629
Banca Popolare del Frusinate,,,,,53,12,1992,2023,https://en.wikipedia.org/wiki/Banca_Popolare_del_Frusinate
Banca Popolare del Lazio,1585,,,,154,61,1904,2023,https://thebanks.eu/banks/15634
Banca Popolare di Cortona,534,,,,86,10,1881,2023,https://thebanks.eu/banks/15647
Banca Popolare di Lajatico,1196,,,,132,19,1884,2023,https://thebanks.eu/banks/15649
Banca Popolare di Puglia e Basilicata,5463,,7000,4000,1025,118,1883,2023,https://thebanks.eu/banks/15654
Banca Prealpi SanBiagio,4690,,6060,2300,510,67,1893,2023,https://thebanks.eu/banks/15443
Banca Valsabbina,7020,,,,,71,1898,2023,https://thebanks.eu/banks/15682
Banca d'Alba,,,8500,3100,550,74,1895,2023,https://www.bancadalba.it/banca-d-alba/bilancio/bilancio-2023/
Banca del Piemonte,2733,,,,497,39,1912,2023,https://thebanks.eu/banks/15699
Banca del Territorio Lombardo,3274,,2373,1660,393,66,,2023,https://thebanks.eu/banks/15531
Banca della Marca,3878,,,,412,48,,2023,https://thebanks.eu/banks/15707
Banca delle Terre Venete,3649,120,,,446,58,,2023,https://thebanks.eu/banks/15825
Banca di Cividale,5041,100,,,566,64,1886,2023,https://thebanks.eu/banks/15726
Banca di Credito Popolare,3518,,3400,,559,44,1888,2023,https://thebanks.eu/banks/15370
Banca di Piacenza,4073,,3183,2224,476,56,1936,2023,https://thebanks.eu/banks/15737
Banco di Sardegna,15046,,11400,6900,1933,286,1953,2023,https://thebanks.eu/banks/15767
Cassa Padana BCC,2810,,,,407,59,1893,2023,https://thebanks.eu/banks/15886
Cassa di Risparmio di Cento,,,4100,3000,408,42,1844,2020,https://en.wikipedia.org/wiki/Cassa_di_Risparmio_di_Cento
Cassa di Risparmio di Fermo,2395,,3620,1174,346,56,1837,2023,https://thebanks.eu/banks/15804
Cassa di Risparmio di Fossano,2097,,,,176,18,1904,2023,https://thebanks.eu/banks/15807
Cassa di Risparmio di Orvieto,1494,,1114,1199,273,41,1852,2023,https://thebanks.eu/banks/15809
Cassa di Risparmio di Volterra,2063,,,,422,63,1893,2023,https://thebanks.eu/banks/15817
Credito Cooperativo Ravennate Forlivese e Imolese,5541,,,,600,67,1963,2023,https://thebanks.eu/banks/15959
Credito Emiliano (CREDEM),57023,,,,5153,,1910,2023,https://thebanks.eu/banks/15964
Emil Banca Credito Cooperativo,6384,,,,738,97,2014,2023,https://thebanks.eu/banks/15981
La Cassa di Ravenna,5744,,4809,,608,37,1840,2023,https://thebanks.eu/banks/15812
Raiffeisen Landesbank Sudtirol,3965,,,,110,1,1890,2023,https://thebanks.eu/banks/15883
Raiffeisenkasse Bruneck,1607,,,,143,12,1972,2023,https://thebanks.eu/banks/15910
Raiffeisenkasse Eisacktal,804,,,,,,1920,2023,https://thebanks.eu/banks/15908
Raiffeisenkasse Meran,694,,,,79,5,,2023,https://thebanks.eu/banks/15895
Sparkasse - Cassa di Risparmio di Bolzano,12890,,,,1325,,1854,2023,https://thebanks.eu/banks/15798
Allgemeine Sparkasse Oberosterreich,15055,440,,,1700,140,1849,2023,https://thebanks.eu/banks/9885
Dornbirner Sparkasse,3280,84,,,350,15,1867,2023,https://www.sparkasse.at/dornbirn/news/2024/bilanz2023
Karntner Sparkasse,5060,315,4130,,598,51,1835,2023,https://www.mein-klagenfurt.at/aktuelle-pressemeldungen/pressemeldungen-maerz-2024/gewinn-verdoppelt-kaerntner-sparkasse-erfolgreich-mit-dynamischem-wachstum
Kremser Bank und Sparkassen,811,27,,,112,6,1856,2023,https://thebanks.eu/banks/9902
Lienzer Sparkasse,488,,643,,,,1878,2023,https://thebanks.eu/banks/10125
Salzburger Sparkasse,8046,236,,,596,54,1855,2023,https://www.sparkasse.at/salzburg/presseaussendungen/2024/03/28/Bilanz_2023_Salzburger_Sparkasse_mit_starker_Kapitalausstattung_ein_verlaesslicher_Partner
Sparkasse Baden,1437,62,,,188,11,1868,2023,https://thebanks.eu/banks/10530
Sparkasse Bludenz,896,,,,,,1892,2023,https://thebanks.eu/banks/10531
Sparkasse Bregenz,982,,,,,,1822,2023,https://de.wikipedia.org/wiki/Sparkasse_Bregenz
Sparkasse Eferding-Peuerbach-Waizenkirchen,1082,,,,128,12,1864,2023,https://thebanks.eu/banks/10047
Sparkasse Hainburg-Bruck-Neusiedl,1374,58,,,105,10,1867,2023,https://thebanks.eu/banks/10533
Sparkasse Hartberg-Vorau,,,,,,,,,,
Sparkasse Horn-Ravelsbach-Kirchberg,783,29,,,114,,1862,2023,https://thebanks.eu/banks/10536
Sparkasse Imst,1458,,,,150,15,1882,2023,https://www.sparkasse.at/imst/meine_sparkasse_imst/newsroom/Geschftsbericht
Sparkasse Korneuburg,915,25,,,,,1869,2023,https://thebanks.eu/banks/10538
Sparkasse Kremstal-Pyhrn,,,,,,,,,,
Sparkasse Kufstein,2765,58,2060,,,19,1877,2023,https://www.sparkasse.at/kufstein/wir-ueber-uns/wir-ueber-uns-geschaeftsbericht
Sparkasse Muhlviertel-West,1045,37,,,140,16,1869,2023,https://thebanks.eu/banks/10544
Sparkasse Neunkirchen,1538,51,,,170,13,1871,2023,https://thebanks.eu/banks/10546
