name,country,country_code,city,website,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,digital_score
Caixa Ontinyent,Spain,ES,Ontinyent,https://www.caixaontinyent.es,intermediate,https://apps.apple.com/es/app/caixa-ontinyent/id891691116?uo=4,basic,https://www.caixaontinyent.es,none,,none,,none,,20
Caixa Pollença (Colonya),Spain,ES,Pollença,https://www.colonya.es,none,,basic,https://www.colonya.es,none,,none,,none,,7
Cecabank,Spain,ES,Madrid,https://www.cecabank.es,basic,https://apps.apple.com/es/app/cecabank/id592430215?uo=4,basic,https://www.cecabank.es,none,,none,,none,,13
Ålems Sparbank,Sweden,SE,,https://www.alemssparbank.se,none,,basic,https://www.alemssparbank.se,none,,none,,none,,7
Åse Viste Sparbank,Sweden,SE,,https://www.aseochvisteharadssparbank.se,none,,none,,none,,none,,none,,0
Bjursås Sparbank,Sweden,SE,,https://www.bjursassparbank.se,none,,basic,https://www.bjursassparbank.se,none,,none,,none,,7
Dalslands Sparbank,Sweden,SE,,https://www.dalsbank.se,none,,basic,https://www.dalsbank.se,none,,none,,none,,7
Ekeby Sparbank,Sweden,SE,,https://www.ekebysparbank.se,none,,basic,https://www.ekebysparbank.se,none,,none,,none,,7
Falkenbergs Sparbank,Sweden,SE,,https://www.falkenbergssparbank.se,none,,basic,https://www.falkenbergssparbank.se,none,,none,,none,,7
Fryksdalens Sparbank,Sweden,SE,,https://www.fryksdalenssparbank.se,none,,basic,https://www.fryksdalenssparbank.se,none,,none,,none,,7
Hälsinglands Sparbank,Sweden,SE,,https://www.halsinglandssparbank.se,none,,basic,https://www.halsinglandssparbank.se,none,,none,,none,,7
Häradssparbanken Mönsterås,Sweden,SE,,https://www.haradssparbanken.se,none,,basic,https://www.haradssparbanken.se,none,,none,,none,,7
Högsby Sparbank,Sweden,SE,,https://www.hogsbysparbank.se,none,,basic,https://www.hogsbysparbank.se,none,,none,,none,,7
Ivetofta Sparbank i Bromölla,Sweden,SE,,https://www.ivetoftasparbank.se,none,,basic,https://www.ivetoftasparbank.se,none,,none,,none,,7
Kinda Ydre Sparbank,Sweden,SE,,https://www.kindaydresparbank.se,none,,basic,https://www.kindaydresparbank.se,none,,none,,none,,7
Laholms Sparbank,Sweden,SE,,https://www.laholmssparbank.se,none,,basic,https://www.laholmssparbank.se,none,,none,,none,,7
Lekebergs Sparbank,Sweden,SE,,https://www.lekebergssparbank.se,none,,basic,https://www.lekebergssparbank.se,none,,none,,none,,7
Leksands Sparbank,Sweden,SE,,https://www.leksandssparbank.se,none,,basic,https://www.leksandssparbank.se,basic,https://www.leksandssparbank.se,none,,none,,13
Lönneberga-Tuna-Vena Sparbank,Sweden,SE,,https://www.ltvsparbank.se,none,,basic,https://www.ltvsparbank.se,none,,none,,none,,7
Markaryds Sparbank,Sweden,SE,,https://www.markarydssparbank.se,none,,basic,https://www.markarydssparbank.se,none,,none,,none,,7
Mjöbäcks Sparbank,Sweden,SE,,https://www.mjobackssparbank.se,none,,basic,https://www.mjobackssparbank.se,none,,none,,none,,7
Norrbärke Sparbank,Sweden,SE,,https://www.norrbarke-sparbank.se,none,,basic,https://www.norrbarke-sparbank.se,none,,none,,none,,7
Ölands Bank,Sweden,SE,,https://www.olandsbank.se,none,,basic,https://www.olandsbank.se,none,,none,,none,,7
Orusts Sparbank,Sweden,SE,,https://www.orustsparbank.se,none,,basic,https://www.orustsparbank.se,none,,none,,none,,7
Roslagens Sparbank,Sweden,SE,,https://www.roslagenssparbank.se,none,,basic,https://www.roslagenssparbank.se,none,,none,,none,,7
Sala Sparbank,Sweden,SE,,https://www.salasparbank.se,none,,basic,https://www.salasparbank.se,none,,none,,none,,7
Sidensjö Sparbank,Sweden,SE,,https://www.sidensjosparbank.se,none,,basic,https://www.sidensjosparbank.se,none,,none,,none,,7
Skurups Sparbank,Sweden,SE,,https://www.skurupssparbank.se,none,,basic,https://www.skurupssparbank.se,none,,none,,none,,7
Snapphanebygdens Sparbank,Sweden,SE,,https://www.snapphanebygdenssparbank.se,none,,basic,https://www.snapphanebygdenssparbank.se,none,,none,,none,,7
Södra Hestra Sparbank,Sweden,SE,,https://www.sodrahestrasparbank.se,none,,basic,https://www.sodrahestrasparbank.se,none,,none,,none,,7
Sölvesborg-Mjällby Sparbank,Sweden,SE,,https://www.smsparbank.se,none,,basic,https://www.smsparbank.se,none,,none,,none,,7
Sörmlands Sparbank,Sweden,SE,,https://www.sormlandssparbank.se,none,,basic,https://www.sormlandssparbank.se,none,,none,,none,,7
Sparbanken Alingsås,Sweden,SE,,https://www.sparbankenalingsas.se,none,,basic,https://www.sparbankenalingsas.se,none,,none,,none,,7
Sparbanken Bergslagen,Sweden,SE,,https://www.sparbankenbergslagen.se,none,,basic,https://www.sparbankenbergslagen.se,none,,none,,none,,7
Sparbanken Boken,Sweden,SE,,https://www.sparbankenboken.se,none,,basic,https://www.sparbankenboken.se,none,,none,,none,,7
Sparbanken Eken,Sweden,SE,,https://www.sparbankeneken.se,none,,basic,https://www.sparbankeneken.se,none,,none,,none,,7
Sparbanken Göinge,Sweden,SE,,https://www.sparbankengoinge.se,none,,basic,https://www.sparbankengoinge.se,none,,basic,https://www.sparbankengoinge.se,none,,13
Sparbanken Gotland,Sweden,SE,,https://www.sparbankengotland.se,none,,basic,https://www.sparbankengotland.se,none,,none,,none,,7
Sparbanken i Enköping,Sweden,SE,,https://www.sparbankenenkoping.se,none,,basic,https://www.sparbankenenkoping.se,none,,none,,none,,7
Sparbanken i Karlshamn,Sweden,SE,,https://www.sparbankenikarlshamn.se,none,,basic,https://www.sparbankenikarlshamn.se,none,,none,,none,,7
Sparbanken Lidköping,Sweden,SE,,https://www.sparbankenlidkoping.se,none,,basic,https://www.sparbankenlidkoping.se,none,,none,,none,,7
Sparbanken Mälardalen,Sweden,SE,,https://www.sparbankenmalardalen.se,none,,basic,https://www.sparbankenmalardalen.se,none,,none,,none,,7
Sparbanken Nord,Sweden,SE,,https://www.sparbankennord.se,none,,basic,https://www.sparbankennord.se,none,,none,,none,,7
Sparbanken Sjuhärad,Sweden,SE,,https://sparbankensjuharad.se,none,,basic,https://sparbankensjuharad.se,none,,none,,none,,7
Sparbanken Skåne,Sweden,SE,,https://www.sparbankenskane.se,none,,basic,https://www.sparbankenskane.se,none,,none,,none,,7
Sparbanken Skaraborg,Sweden,SE,,https://www.sparbankenskaraborg.se,none,,basic,https://www.sparbankenskaraborg.se,none,,none,,none,,7
Sparbanken Spira,Sweden,SE,,https://www.tjustbanken.se,none,,basic,https://www.tjustbanken.se,none,,none,,none,,7
Sparbanken Tanum,Sweden,SE,,https://www.sparbankentanum.se,none,,basic,https://www.sparbankentanum.se,none,,none,,none,,7
Sparbanken Tranemo,Sweden,SE,,https://www.sparbankentranemo.se,none,,basic,https://www.sparbankentranemo.se,none,,none,,none,,7
Tidaholms Sparbank,Sweden,SE,,https://www.tidaholms-sparbank.se,none,,basic,https://www.tidaholms-sparbank.se,none,,none,,none,,7
Tjörns Sparbank,Sweden,SE,,https://www.tjorns-sparbank.se,none,,basic,https://www.tjorns-sparbank.se,none,,none,,none,,7
Ulricehamns Sparbank,Sweden,SE,,https://www.ulricehamnssparbank.se,none,,basic,https://www.ulricehamnssparbank.se,none,,none,,none,,7
Vadstena Sparbank,Sweden,SE,,https://www.vadstenasparbank.se,none,,basic,https://www.vadstenasparbank.se,none,,none,,none,,7
Valdemarsviks Sparbank,Sweden,SE,,https://www.valdemarsvikssparbank.se,none,,basic,https://www.valdemarsvikssparbank.se,none,,none,,none,,7
Varbergs Sparbank,Sweden,SE,,https://www.varbergssparbank.se,none,,basic,https://www.varbergssparbank.se,none,,none,,none,,7
Vimmerby Sparbank,Sweden,SE,,https://www.vimmerbysparbank.se,none,,basic,https://www.vimmerbysparbank.se,none,,none,,none,,7
Virserums Sparbank,Sweden,SE,,https://www.virserumssparbank.se,none,,basic,https://www.virserumssparbank.se,none,,none,,none,,7
Westra Wermlands Sparbank,Sweden,SE,,https://www.wwsparbank.se,none,,basic,https://www.wwsparbank.se,none,,none,,none,,7
