name,country,website,mobile_banking,open_banking,digital_onboarding,ai_chatbot,devops_cloud,digital_score,digital_tier,annual_report_url,case_study_url,press_release_url,assessment_confidence,evidence_status,notes
Raiffeisenlandesbank Oberosterreich,Austria,https://www.rlbooe.at,intermediate,basic,intermediate,none,intermediate,47,Developing,https://www.rlbooe.at/de/ueber-uns/investor-relations.html,https://www.rlbooe.at/karriere,https://www.raiffeisen.at/ooe/de/privatkunden/konto-karten/kontoeroeffnung.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Raiffeisenlandesbank NO-Wien,Austria,https://www.raiffeisenbank.at,intermediate,basic,intermediate,none,intermediate,47,Developing,https://www.raiffeisenbank.at/noew/de/ueber-uns/investor-relations.html,https://www.raiffeisenbank.at/de/karriere.html,https://www.raiffeisen.at/noew/de/privatkunden/konto-karten/kontoeroeffnung.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Raiffeisen-Landesbank Steiermark,Austria,https://www.rlbstmk.at,intermediate,basic,intermediate,none,basic,40,Developing,https://www.rlbstmk.at/de/ueber-uns.html,https://www.rlbstmk.at/de/karriere.html,https://www.raiffeisen.at/stmk/de/privatkunden/konto-karten/kontoeroeffnung.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
de Volksbank (SNS),Netherlands,https://www.snsbank.nl,advanced,basic,intermediate,none,intermediate,53,Developing,https://www.devolksbank.nl/en/investor-relations/annual-reports,https://www.devolksbank.nl/werken-bij.html,https://www.snsbank.nl/particulier/betalen/betaalrekening-openen.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Triodos Bank,Netherlands,https://www.triodos.com,advanced,basic,intermediate,none,intermediate,53,Developing,https://www.triodos.com/reporting,https://www.triodos.com/en/digital,https://www.triodos.com/press-releases,Medium,deep_researched,Strong sustainability reporting; digital case-study evidence less technical than large universal banks.
Banca Popolare di Bari,Italy,https://www.popolarebari.it,intermediate,none,basic,none,basic,27,Nascent,https://www.popolarebari.it/istituzionale/,https://www.popolarebari.it/istituzionale/lavora-con-noi/,https://www.popolarebari.it/privati/conti/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Banque Raiffeisen,Luxembourg,https://www.raiffeisen.lu,advanced,basic,intermediate,none,basic,47,Developing,https://www.raiffeisen.lu/en/bank/publications/,https://www.raiffeisen.lu/en/bank/careers,https://www.raiffeisen.lu/en/private/customers/accounts,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Sparkasse Hannover,Germany,https://www.sparkasse-hannover.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.sparkasse-hannover.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort/geschaeftsbericht.html,https://www.sparkasse-hannover.de/de/home/ihre-sparkasse/karriere.html,https://www.sparkasse-hannover.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Kreissparkasse Koeln,Germany,https://www.ksk-koeln.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.ksk-koeln.de/de/home/ihre-ksk/zahlen-und-fakten.html,https://www.ksk-koeln.de/de/home/ihre-sparkasse/karriere.html,https://www.ksk-koeln.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Frankfurter Sparkasse,Germany,https://www.frankfurter-sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.frankfurter-sparkasse.de/de/home/ihre-sparkasse/unternehmensberichte.html,https://www.frankfurter-sparkasse.de/de/home/ihre-sparkasse/karriere.html,https://www.frankfurter-sparkasse.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Berliner Sparkasse,Germany,https://www.berliner-sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.berliner-sparkasse.de/de/home/ihre-sparkasse/zahlen-und-fakten.html,https://www.berliner-sparkasse.de/de/home/ihre-sparkasse/karriere.html,https://www.berliner-sparkasse.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Stadtsparkasse Duesseldorf,Germany,https://www.sskduesseldorf.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.sskduesseldorf.de/de/home/ihre-sparkasse/zahlen-und-fakten.html,https://www.sskduesseldorf.de/de/home/ihre-sparkasse/karriere.html,https://www.sskduesseldorf.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Sparkasse Bremen,Germany,https://www.sparkasse-bremen.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.sparkasse-bremen.de/de/home/ihre-sparkasse/pressecenter.html,https://www.sparkasse-bremen.de/de/home/ihre-sparkasse/karriere.html,https://www.sparkasse-bremen.de/de/home/service/kontakt.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
SpareBank 1 SR-Bank,Norway,https://www.sr-bank.no,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,https://www.sparebank1.no/nb/sr-bank/om-oss/investor-relations/rapporter.html,https://sparebank1utvikling.medium.com,https://www.sr-bank.no/nb/privat/kundeservice,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
SpareBank 1 SMN,Norway,https://www.sparebank1.no/nb/smn,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,https://www.sparebank1.no/nb/smn/om-oss/investor-relations.html,https://sparebank1utvikling.medium.com,https://www.sparebank1.no/nb/smn/kundeservice/,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
SpareBank 1 Nord-Norge,Norway,https://www.sparebank1.no/nb/nord-norge,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,https://www.sparebank1.no/nb/nord-norge/om-oss/investor-relations.html,https://sparebank1utvikling.medium.com,https://www.sparebank1.no/nb/nord-norge/kundeservice/,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Sparebanken Vest,Norway,https://www.spv.no,advanced,basic,intermediate,none,basic,47,Developing,https://www.spv.no/om-oss/investor-relations/financial-reports,https://www.spv.no/om-oss/jobbe-i-sparebanken-vest,https://www.spv.no/privat/konto/bli-kunde,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Sparebanken Sor,Norway,https://www.sor.no,advanced,basic,intermediate,none,basic,47,Developing,https://www.sor.no/om-oss/investor-relasjoner,https://www.sor.no/om-oss/karriere,https://www.sor.no/privat/bli-kunde,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Lansforsakringar Bank,Sweden,https://www.lansforsakringar.se,advanced,basic,intermediate,none,basic,47,Developing,https://www.lansforsakringar.se/stockholm/om-oss/finansiell-information/,https://www.lansforsakringar.se/stockholm/om-oss/jobba-hos-oss/,https://www.lansforsakringar.se/stockholm/privat/bank/bli-bankkund/,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Leeds Building Society,United Kingdom,https://www.leedsbuildingsociety.co.uk,advanced,basic,intermediate,none,basic,47,Developing,https://www.leedsbuildingsociety.co.uk/your-society/annual-report/,https://www.leedsbuildingsociety.co.uk/careers/,https://www.leedsbuildingsociety.co.uk/savings/online-saver/,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
KBC Brussels,Belgium,https://www.kbcbrussels.be,advanced,advanced,intermediate,intermediate,advanced,87,Digital Leader,https://www.kbc.com/en/investor-relations/reports.html,https://www.kbc.com/en/innovation.html,https://www.kbcbrussels.be/retail/en/processes/digital-assistant-kate.html,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Belfius Bank,Belgium,https://www.belfius.be,advanced,basic,intermediate,intermediate,intermediate,67,Advanced,https://www.belfius.be/about-us/en/investors/results/index.aspx,https://www.belfius.be/about-us/en/jobs/index.aspx,https://www.belfius.be/retail/en/contact/chat/index.aspx,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Banca di Asti,Italy,https://www.bancadiasti.it,intermediate,none,basic,none,basic,27,Nascent,https://www.bancadiasti.it/chi-siamo/investor-relations,https://www.bancadiasti.it/chi-siamo/lavora-con-noi,https://www.bancadiasti.it/privati/conti,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Caja Rural de Navarra,Spain,https://www.cajaruraldenavarra.com,advanced,basic,intermediate,none,basic,47,Developing,https://www.cajaruraldenavarra.com/es/conocenos/informacion-corporativa,https://www.cajaruraldenavarra.com/es/conocenos/empleo,https://www.cajaruraldenavarra.com/es/particulares/cuentas,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Laboral Kutxa,Spain,https://www.laboralkutxa.com,advanced,basic,intermediate,none,basic,47,Developing,https://www.laboralkutxa.com/es/conocenos/informacion-corporativa,https://www.laboralkutxa.com/es/conocenos/trabaja-con-nosotros,https://www.laboralkutxa.com/es/particulares/cuentas,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
Nova Ljubljanska Banka (NLB),Slovenia,https://www.nlb.si,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://www.nlb.si/investor-relations/reports-and-presentations,https://www.nlb.si/careers,https://www.nlb.si/contact,Medium-High,deep_researched,Deep-researched with official reporting page and category-specific digital evidence links.
