name,country,website,mobile_banking,open_banking,digital_onboarding,ai_chatbot,devops_cloud,digital_score,digital_tier,annual_report_url,case_study_url,press_release_url,assessment_confidence,evidence_status,notes
Rabobank,Netherlands,https://www.rabobank.com,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Raiffeisen Bank International,Austria,https://www.rbinternational.com,advanced,basic,intermediate,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Raiffeisen Switzerland,Switzerland,https://www.raiffeisen.ch,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
OP Financial Group,Finland,https://www.op.fi,advanced,basic,advanced,none,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Nationwide Building Society,United Kingdom,https://www.nationwide.co.uk,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Coventry Building Society,United Kingdom,https://www.coventrybuildingsociety.co.uk,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Skipton Building Society,United Kingdom,https://www.skipton.co.uk,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Yorkshire Building Society,United Kingdom,https://www.ybs.co.uk,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Principality Building Society,United Kingdom,https://www.principality.co.uk,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Bank of Valletta,Malta,https://www.bov.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Aktia Bank,Finland,https://www.aktia.com,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banca Popolare di Sondrio,Italy,https://www.popso.it,advanced,none,intermediate,none,basic,40,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparkasse KoelnBonn,Germany,https://www.sparkasse-koelnbonn.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Hamburger Sparkasse (Haspa),Germany,https://www.haspa.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Ibercaja Banco,Spain,https://www.ibercaja.es,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Kutxabank,Spain,https://www.kutxabank.es,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Unicaja Banco,Spain,https://www.unicajabanco.es,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
ABANCA,Spain,https://www.abanca.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Cajamar Caja Rural,Spain,https://www.cajamar.es,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Credit Mutuel Alliance Federale,France,https://www.creditmutuel.fr,advanced,basic,intermediate,intermediate,advanced,73,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Credit Agricole Group,France,https://www.credit-agricole.com,advanced,basic,intermediate,basic,advanced,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
BCC Iccrea Group,Italy,https://www.gruppobcciccrea.it,intermediate,basic,intermediate,none,intermediate,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Cassa Centrale Banca Group,Italy,https://www.cassacentrale.it,intermediate,basic,intermediate,none,intermediate,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Nykredit,Denmark,https://www.nykredit.com,advanced,basic,intermediate,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Bank Norwegian (Nordax Group),Norway,https://www.banknorwegian.no,advanced,none,advanced,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banca Transilvania,Romania,https://www.bancatransilvania.ro,advanced,basic,intermediate,intermediate,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
CEC Bank,Romania,https://www.cec.ro,intermediate,basic,basic,none,basic,33,Nascent,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
DZ Bank Group,Germany,https://www.dzbank.com,intermediate,basic,basic,none,advanced,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Berliner Volksbank,Germany,https://www.berliner-volksbank.de,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
GLS Bank,Germany,https://www.gls.de,intermediate,basic,intermediate,none,intermediate,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Raiffeisenlandesbank Oberosterreich,Austria,https://www.rlbooe.at,intermediate,basic,intermediate,none,intermediate,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Raiffeisenlandesbank NO-Wien,Austria,https://www.raiffeisenbank.at,intermediate,basic,intermediate,none,intermediate,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Raiffeisen-Landesbank Steiermark,Austria,https://www.rlbstmk.at,intermediate,basic,intermediate,none,basic,40,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
de Volksbank (SNS),Netherlands,https://www.snsbank.nl,advanced,basic,intermediate,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Triodos Bank,Netherlands,https://www.triodos.com,advanced,basic,intermediate,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banca Popolare di Bari,Italy,https://www.popolarebari.it,intermediate,none,basic,none,basic,27,Nascent,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banque Raiffeisen,Luxembourg,https://www.raiffeisen.lu,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparkasse Hannover,Germany,https://www.sparkasse-hannover.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Kreissparkasse Koeln,Germany,https://www.ksk-koeln.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Frankfurter Sparkasse,Germany,https://www.frankfurter-sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Berliner Sparkasse,Germany,https://www.berliner-sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Stadtsparkasse Duesseldorf,Germany,https://www.sskduesseldorf.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparkasse Bremen,Germany,https://www.sparkasse-bremen.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
SpareBank 1 SR-Bank,Norway,https://www.sr-bank.no,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
SpareBank 1 SMN,Norway,https://www.sparebank1.no/nb/smn,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
SpareBank 1 Nord-Norge,Norway,https://www.sparebank1.no/nb/nord-norge,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparebanken Vest,Norway,https://www.spv.no,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparebanken Sor,Norway,https://www.sor.no,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Lansforsakringar Bank,Sweden,https://www.lansforsakringar.se,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Leeds Building Society,United Kingdom,https://www.leedsbuildingsociety.co.uk,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
KBC Brussels,Belgium,https://www.kbcbrussels.be,advanced,advanced,intermediate,intermediate,advanced,87,Digital Leader,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Belfius Bank,Belgium,https://www.belfius.be,advanced,basic,intermediate,intermediate,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banca di Asti,Italy,https://www.bancadiasti.it,intermediate,none,basic,none,basic,27,Nascent,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Caja Rural de Navarra,Spain,https://www.cajaruraldenavarra.com,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Laboral Kutxa,Spain,https://www.laboralkutxa.com,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Nova Ljubljanska Banka (NLB),Slovenia,https://www.nlb.si,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
