name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Sparkasse Holstein,9444,,7038,,948,56,1824,2024,https://de.wikipedia.org/wiki/Sparkasse_Holstein
Sparkasse Kaiserslautern,5762,,4251,,780,53,1836,2024,https://de.wikipedia.org/wiki/Sparkasse_Kaiserslautern
Sparkasse Karlsruhe,11973,,8793,,1294,66,1812,2024,https://de.wikipedia.org/wiki/Sparkasse_Karlsruhe
Sparkasse Krefeld,10342,,7724,,1366,51,1840,2024,https://de.wikipedia.org/wiki/Sparkasse_Krefeld
Sparkasse KölnBonn,28100,1000,,,3474,50,2005,2024,https://de.wikipedia.org/wiki/Sparkasse_K%C3%B6lnBonn
Sparkasse Leverkusen,4446,,3450,,,,1844,2024,https://de.wikipedia.org/wiki/Sparkasse_Leverkusen
Sparkasse Lörrach-Rheinfelden,3417,,2030,,,,1834,2024,https://de.wikipedia.org/wiki/Sparkasse_L%C3%B6rrach-Rheinfelden
Sparkasse Lüneburg,3361,,2681,,541,33,1990,2024,https://de.wikipedia.org/wiki/Sparkasse_L%C3%BCneburg
Sparkasse Magdeburg,4216,,3668,,522,34,,2024,https://de.wikipedia.org/wiki/Sparkasse_Magdeburg
Sparkasse Mainfranken Würzburg,10709,,8675,,1388,84,1822,2024,https://de.wikipedia.org/wiki/Sparkasse_Mainfranken_W%C3%BCrzburg
Sparkasse Marburg-Biedenkopf,4600,,,,810,,1832,2024,https://de.wikipedia.org/wiki/Sparkasse_Marburg-Biedenkopf
Sparkasse Mecklenburg-Nordwest,1844,,1622,,239,21,1824,2024,https://de.wikipedia.org/wiki/Sparkasse_Mecklenburg-Nordwest
Sparkasse Mecklenburg-Schwerin,3289,,2621,,509,22,1821,2024,https://de.wikipedia.org/wiki/Sparkasse_Mecklenburg-Schwerin
Sparkasse Mittelsachsen,3736,,,,387,36,1823,2023,https://de.wikipedia.org/wiki/Sparkasse_Mittelsachsen
Sparkasse Märkisch-Oderland,2481,,,,241,31,1994,2024,https://de.wikipedia.org/wiki/Sparkasse_M%C3%A4rkisch-Oderland
Sparkasse Niederbayern-Mitte,5571,,3914,,635,41,,2024,https://de.wikipedia.org/wiki/Sparkasse_Niederbayern-Mitte
Sparkasse Oberhessen,6265,,5005,,852,51,,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberhessen
Sparkasse Oberlausitz-Niederschlesien,4602,227,3880,,236,35,,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberlausitz-Niederschlesien
Sparkasse Oberpfalz Nord,1900,,1616,,325,15,2005,2024,https://de.wikipedia.org/wiki/Sparkasse_Oberpfalz_Nord
Sparkasse Oder-Spree,3895,,,,411,,,,https://de.wikipedia.org/wiki/Sparkasse_Oder-Spree
Sparkasse Passau,3870,100,,,563,30,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Passau
Sparkasse Pforzheim Calw,17400,370,,,1897,78,1834,2024,https://de.wikipedia.org/wiki/Sparkasse_Pforzheim_Calw
Sparkasse Rhein Neckar Nord,5825,,3896,,700,36,1822,2024,https://de.wikipedia.org/wiki/Sparkasse_Rhein_Neckar_Nord
Sparkasse Rhein-Haardt,4750,,,,569,,,,https://de.wikipedia.org/wiki/Sparkasse_Rhein-Haardt
Sparkasse Rhein-Nahe,5442,,,,690,33,,2024,https://de.wikipedia.org/wiki/Sparkasse_Rhein-Nahe
Sparkasse Rotenburg Osterholz,4064,,,,654,40,2018,2024,https://de.wikipedia.org/wiki/Sparkasse_Rotenburg_Osterholz
Sparkasse Saarbrücken,8055,,6069,,1097,59,1898,2024,https://de.wikipedia.org/wiki/Sparkasse_Saarbr%C3%BCcken
Sparkasse Schwarzwald-Baar,4930,,3697,,631,45,1839,2024,https://de.wikipedia.org/wiki/Sparkasse_Schwarzwald-Baar
Sparkasse Schweinfurt-Haßberge,4806,,3734,,674,42,,2024,https://de.wikipedia.org/wiki/Sparkasse_Schweinfurt-Ha%C3%9Fberge
Sparkasse Siegen,4933,,3746,,766,41,1842,2024,https://de.wikipedia.org/wiki/Sparkasse_Siegen
Sparkasse Sonneberg,793,,,,145,12,,2024,https://de.wikipedia.org/wiki/Sparkasse_Sonneberg
Sparkasse Trier,5408,,,,724,35,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Trier
Sparkasse Uckermark,1397,,,,202,,,,https://de.wikipedia.org/wiki/Sparkasse_Uckermark
Sparkasse Ulm,7203,,5480,,914,77,1847,2024,https://de.wikipedia.org/wiki/Sparkasse_Ulm
Sparkasse Westerwald-Sieg,4220,,,,574,35,2015,2024,https://de.wikipedia.org/wiki/Sparkasse_Westerwald-Sieg
Sparkasse Westmünsterland,11496,,8462,,1377,79,1841,2024,https://de.wikipedia.org/wiki/Sparkasse_Westm%C3%BCnsterland
Sparkasse Zwickau,3222,,2796,,433,23,1845,2024,https://de.wikipedia.org/wiki/Sparkasse_Zwickau
Sparkasse an Ennepe und Ruhr,2787,,,,,,,,https://de.wikipedia.org/wiki/Sparkasse_an_Ennepe_und_Ruhr
Stadt-Sparkasse Solingen,3730,,,,494,17,1836,2024,https://de.wikipedia.org/wiki/Stadt-Sparkasse_Solingen
Stadtsparkasse Augsburg,8400,,6900,,1040,42,1822,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Augsburg
Stadtsparkasse Bad Pyrmont,425,,,,74,3,,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Bad_Pyrmont
Stadtsparkasse Düsseldorf,15666,397,12056,,1599,52,1825,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_D%C3%BCsseldorf
Stadtsparkasse Schwedt,753,,,,99,4,,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Schwedt
Stadtsparkasse Wuppertal,8457,,,,1182,44,1822,2024,https://de.wikipedia.org/wiki/Stadtsparkasse_Wuppertal
Taunus Sparkasse,7746,,5718,,780,50,1825,2024,https://de.wikipedia.org/wiki/Taunus_Sparkasse
