name,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence
Sparkasse Muhlviertel-West,advanced,https://play.google.com/store/apps/details?id=at.erstebank.george,advanced,https://developers.erstegroup.com/,advanced,https://www.sparkasse.at/sgruppe/privatkunden/konto-karten/onlinekonto,basic,https://www.erstegroup.com/en/news-media/press-releases/2023/10/05/erste-bank-launches-austrias-first-financial-ai,basic,https://www.it-finanzmagazin.de/sdg-ibm-unterstuetzt-erste-bank-mit-ki-und-cloud-technologie-122737/
Sparkasse Niederosterreich Mitte West,advanced,https://play.google.com/store/apps/details?id=at.erstebank.george,advanced,https://developers.erstegroup.com/,advanced,https://www.sparkasse.at/sgruppe/privatkunden/konto-karten/onlinekonto,basic,https://www.erstegroup.com/en/news-media/press-releases/2023/10/05/erste-bank-launches-austrias-first-financial-ai,basic,https://www.it-finanzmagazin.de/sdg-ibm-unterstuetzt-erste-bank-mit-ki-und-cloud-technologie-122737/
Waldviertler Sparkasse von 1842,advanced,https://play.google.com/store/apps/details?id=at.erstebank.george,advanced,https://developers.erstegroup.com/,advanced,https://www.sparkasse.at/sgruppe/privatkunden/konto-karten/onlinekonto,basic,https://www.erstegroup.com/en/news-media/press-releases/2023/10/05/erste-bank-launches-austrias-first-financial-ai,basic,https://www.it-finanzmagazin.de/sdg-ibm-unterstuetzt-erste-bank-mit-ki-und-cloud-technologie-122737/
Wiener Neustadter Sparkasse,advanced,https://play.google.com/store/apps/details?id=at.erstebank.george,advanced,https://developers.erstegroup.com/,advanced,https://www.sparkasse.at/sgruppe/privatkunden/konto-karten/onlinekonto,basic,https://www.erstegroup.com/en/news-media/press-releases/2023/10/05/erste-bank-launches-austrias-first-financial-ai,basic,https://www.it-finanzmagazin.de/sdg-ibm-unterstuetzt-erste-bank-mit-ki-und-cloud-technologie-122737/
Erzgebirgssparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Förde Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Hohenzollerische Landesbank Kreissparkasse Sigmaringen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kasseler Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Ahrweiler,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Diepholz,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Düsseldorf,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Freudenstadt,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Köln,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Limburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Ludwigsburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Ostalb,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.ksk-ostalb.de/de/home/sofa-banking/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Saarlouis,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Stade,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Traunstein-Trostberg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Tübingen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Verden,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Waiblingen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Mittelbrandenburgische Sparkasse in Potsdam,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Müritz-Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Nassauische Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Ostsächsische Sparkasse Dresden,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Rheinhessen Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Aachen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Altbayern,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Altenburger Land,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Amberg-Sulzbach,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse an Ennepe und Ruhr,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Ansbach,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Aschaffenburg Miltenberg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Attendorn-Lennestadt-Kirchhundem,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Aurich-Norden,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Bad Hersfeld-Rotenburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Bad Kissingen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Bad Neustadt a. d. Saale,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Bad Oeynhausen - Porta Westfalica,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Bad Tölz-Wolfratshausen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Baden-Baden Gaggenau,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Berchtesgadener Land,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Burgenlandkreis,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Dortmund,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Duisburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Freiburg-Nördlicher Breisgau,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Sparkasse Freising Moosburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
