bank_name,country,field,value,source_url,source_type,access_date,verification_status,notes
Credit Agricole Group,France,digital_score,67,https://www.credit-agricole.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
BCC Iccrea Group,Italy,digital_score,47,https://www.gruppobcciccrea.it,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Cassa Centrale Banca Group,Italy,digital_score,47,https://www.cassacentrale.it,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Nykredit,Denmark,digital_score,53,https://www.nykredit.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Bank Norwegian (Nordax Group),Norway,digital_score,53,https://www.banknorwegian.no,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Banca Transilvania,Romania,digital_score,67,https://www.bancatransilvania.ro,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
CEC Bank,Romania,digital_score,33,https://www.cec.ro,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
DZ Bank Group,Germany,digital_score,47,https://www.dzbank.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Berliner Volksbank,Germany,digital_score,47,https://www.berliner-volksbank.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
GLS Bank,Germany,digital_score,47,https://www.gls.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Raiffeisenlandesbank Oberosterreich,Austria,digital_score,47,https://www.rlbooe.at,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Raiffeisenlandesbank NO-Wien,Austria,digital_score,47,https://www.raiffeisenbank.at,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Raiffeisen-Landesbank Steiermark,Austria,digital_score,40,https://www.rlbstmk.at,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
de Volksbank (SNS),Netherlands,digital_score,53,https://www.snsbank.nl,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Triodos Bank,Netherlands,digital_score,53,https://www.triodos.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Banca Popolare di Bari,Italy,digital_score,27,https://www.popolarebari.it,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Banque Raiffeisen,Luxembourg,digital_score,47,https://www.raiffeisen.lu,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Sparkasse Hannover,Germany,digital_score,53,https://www.sparkasse-hannover.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Kreissparkasse Koeln,Germany,digital_score,53,https://www.ksk-koeln.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Frankfurter Sparkasse,Germany,digital_score,53,https://www.frankfurter-sparkasse.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Berliner Sparkasse,Germany,digital_score,53,https://www.berliner-sparkasse.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Stadtsparkasse Duesseldorf,Germany,digital_score,53,https://www.sskduesseldorf.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Sparkasse Bremen,Germany,digital_score,53,https://www.sparkasse-bremen.de,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
SpareBank 1 SR-Bank,Norway,digital_score,67,https://www.sr-bank.no,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
SpareBank 1 SMN,Norway,digital_score,67,https://www.sparebank1.no/nb/smn,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
SpareBank 1 Nord-Norge,Norway,digital_score,67,https://www.sparebank1.no/nb/nord-norge,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Sparebanken Vest,Norway,digital_score,47,https://www.spv.no,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Sparebanken Sor,Norway,digital_score,47,https://www.sor.no,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Lansforsakringar Bank,Sweden,digital_score,47,https://www.lansforsakringar.se,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Leeds Building Society,United Kingdom,digital_score,47,https://www.leedsbuildingsociety.co.uk,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
KBC Brussels,Belgium,digital_score,87,https://www.kbcbrussels.be,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Belfius Bank,Belgium,digital_score,67,https://www.belfius.be,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Banca di Asti,Italy,digital_score,27,https://www.bancadiasti.it,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Caja Rural de Navarra,Spain,digital_score,47,https://www.cajaruraldenavarra.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Laboral Kutxa,Spain,digital_score,47,https://www.laboralkutxa.com,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
Nova Ljubljanska Banka (NLB),Slovenia,digital_score,60,https://www.nlb.si,computed_from_maturity_fields,2026-02-11,pending_source_validation,Generated evidence removed pending strict source validation.
